NOME;NOM_PARLAMENTAR;SIG_PARTIDO;UF;CARGO ATUAL;CARGO_PARLAMENTAR_NA_BASE_DE_ESTUDO;FLAG_FACHIN
Aloysio Nunes Ferreira;ALOYSIO NUNES FERREIRA;PSDB;;MINISTRO;DEPUTADO;TRUE
Blairo Maggi;;PP;;MINISTRO;;TRUE
Bruno Araújo;BRUNO ARAÚJO;PSDB;;MINISTRO;DEPUTADO;TRUE
Eliseu Padilha;ELISEU PADILHA;PMDB;;MINISTRO;DEPUTADO;TRUE
Gilberto Kassab;GILBERTO KASSAB;PSDB;;MINISTRO;DEPUTADO;TRUE
Helder Barbalho;;PMDB;;MINISTRO;;TRUE
Marcos Pereira;;PRB;;MINISTRO;;TRUE
Moreira Franco;MOREIRA FRANCO;PMDB;;MINISTRO;DEPUTADO;TRUE
Vanessa Grazziotin;VANESSA GRAZZIOTIN;PCdoB;AM;SENADOR;DEPUTADO;TRUE
Eunício Oliveira;EUNÍCIO OLIVEIRA;PMDB;CE;SENADOR;DEPUTADO;TRUE
Renan Calheiros;RENAN CALHEIROS;PMDB;AL;SENADOR;;TRUE
Romero Jucá;ROMERO JUCÁ;PMDB;RR;SENADOR;;TRUE
Edison Lobão;EDISON LOBÃO;PMDB;MA;SENADOR;;TRUE
Kátia Abreu;KÁTIA ABREU;PMDB;TO;SENADOR;DEPUTADO;TRUE
Eduardo Braga;EDUARDO BRAGA;PMDB;AM;SENADOR;;TRUE
Valdir Raupp;VALDIR RAUPP;PMDB;RO;SENADOR;;TRUE
Ciro Nogueira;CIRO NOGUEIRA;PP;PI;SENADOR;DEPUTADO;TRUE
Ivo Cassol;IVO CASSOL;PP;RO;SENADOR;;TRUE
Fernando Bezerra Coelho;FERNANDO BEZERRA COELHO;PSB;PE;SENADOR;;TRUE
Lidice da Mata;LIDICE DA MATA;PSB;BA;SENADOR;;TRUE
Omar Aziz;OMAR AZIZ;PSD;AM;SENADOR;;TRUE
Aécio Neves;AÉCIO NEVES;PSDB;MG;SENADOR;;TRUE
Antonio Anastasia;ANTONIO ANASTASIA;PSDB;MG;SENADOR;;TRUE
Cássio Cunha Lima;CASSIO CUNHA LIMA;PSDB;PB;SENADOR;;TRUE
Dalirio Beber;DARILIO BEBER;PSDB;SC;SENADOR;;TRUE
José Serra;JOSE SERRA;PSDB;SP;SENADOR;;TRUE
Ricardo Ferraço;RICARDO FERRAÇO;PSDB;ES;SENADOR;;TRUE
Paulo Rocha;PAULO ROCHA;PT;PA;SENADOR;DEPUTADO;TRUE
Humberto Costa;HUMBERTO COSTA;PT;PE;SENADOR;;TRUE
Jorge Viana;JORGE VIANA;PT;AC;SENADOR;;TRUE
Lindbergh Farias;LINDBERG FARIAS;PT;RJ;SENADOR;DEPUTADO;TRUE
