NOME;SIG_PARTIDO;UF;CARGO;FLAG_TEORI;DOACAO_ELEITORAL_LAVA_JATO
AÉCIO NEVES;PSDB;MG;SENADOR;TRUE;670010
AFONSO HAMM;PP;RS;DEPUTADO;TRUE;49600
AGUINALDO RIBEIRO;PP;PB;DEPUTADO;TRUE;30000
ALEXANDRE SANTOS;PMDB;RJ;DEPUTADO;TRUE;200000
ALINE CORRÊA;PP;SP;DEPUTADO;TRUE;0
ANÍBAL GOMES;PMDB;CE;DEPUTADO;TRUE;0
ANTONIO ANASTASIA;PSDB;MG;SENADOR;TRUE;1010176,14
ANTONIO PALOCCI;PT;SP;DEPUTADO;TRUE;150000
ARTHUR LIRA;PP;AL;DEPUTADO;TRUE;0
BENEDITO DE LIRA;PP;AL;SENADOR;TRUE;1799990,8
CÂNDIDO VACCAREZZA;PT;SP;DEPUTADO;TRUE;1054000
CARLOS MAGNO;PP;RO;DEPUTADO;TRUE;0
CIRO NOGUEIRA;PP;PI;SENADOR;TRUE;150000
DELCÍDIO DO AMARAL GOMES;PT;MS;SENADOR;TRUE;9749750,23
DILCEU SPERAFICO;PP;PR;DEPUTADO;TRUE;792000
EDISON LOBÃO;PMDB;MA;SENADOR;TRUE;500000
EDUARDO CUNHA;PMDB;RJ;DEPUTADO;TRUE;0
EDUARDO DA FONTE;PP;PE;DEPUTADO;TRUE;0
FERNANDO COLLOR;PTB;AL;SENADOR;TRUE;271469,8
GLADSON CAMELI;PP;AC;SENADOR;TRUE;100000
GLEISI HOFFMANN;PT;PR;SENADOR;TRUE;2842500
HENRIQUE EDUARDO ALVES;PMDB;RN;DEPUTADO;TRUE;11000000
HUMBERTO COSTA;PT;PE;SENADOR;TRUE;1530000
JERÔNIMO GOERGEN;PP;RS;DEPUTADO;TRUE;100000
JOÃO PIZZOLATTI;PP;SC;DEPUTADO;TRUE;500000
JOÃO LEÃO;PP;BA;DEPUTADO;TRUE;0
SANDES JÚNIOR;PP;GO;DEPUTADO;TRUE;175000
JOSÉ LINHARES;PP;CE;DEPUTADO;TRUE;0
JOSÉ MENTOR;PT;SP;DEPUTADO;TRUE;187500
JOSÉ OTÁVIO GERMANO;PP;RS;DEPUTADO;TRUE;326600
LÁZARO BOTELHO;PP;TO;DEPUTADO;TRUE;0
LINDBERG FARIAS;PT;RJ;SENADOR;TRUE;4180000
LUIZ ARGÔLO;SD;BA;DEPUTADO;TRUE;151400
LUIS CARLOS HEINZE;PP;RS;DEPUTADO;TRUE;359200
LUIZ FERNANDO FARIA;PP;MG;DEPUTADO;TRUE;811363
MÁRIO NEGROMONTE;PP;BA;DEPUTADO;TRUE;700000
MISSIONÁRIO JOSÉ OLIMPIO;PP;SP;DEPUTADO;TRUE;306500
NELSON MEURER;PP;PR;DEPUTADO;TRUE;1117000
PEDRO CORRÊA;PP;PE;DEPUTADO;TRUE;0
PEDRO HENRY;PP;MT;DEPUTADO;TRUE;100000
RENAN CALHEIROS;PMDB;AL;SENADOR;TRUE;0
RENATO MOLLING;PP;RS;DEPUTADO;TRUE;98600
ROBERTO BALESTRA;PP;GO;DEPUTADO;TRUE;0
ROBERTO BRITTO;PP;BA;DEPUTADO;TRUE;10320,85
ROBERTO TEIXEIRA;PP;PE;DEPUTADO;TRUE;0
ROMERO JUCÁ;PMDB;RR;SENADOR;TRUE;0
ROSEANA SARNEY;PMDB;MA;SENADOR;TRUE;200000
SIMÃO SESSIM;PP;RJ;DEPUTADO;TRUE;300014
VALDIR RAUPP;PMDB;RO;SENADOR;TRUE;0
VANDER LOUBET;PT;MS;DEPUTADO;TRUE;327283,65
VILSON COVATTI;PP;RS;DEPUTADO;TRUE;0
WALDIR MARANHÃO;PP;MA;DEPUTADO;TRUE;0
