"";"NOM_PROPOSICAO_SF";"NOM_PROPOSICAO_CD";"EMENTA"
"1";"PLS 196/2011";"PL 2222/2011";"ALTERA O ART. 65 DA LEI Nº 8.213, DE 24 DE JULHO DE 1991, PARA ASSEGURAR AO EMPREGADO DOMÉSTICO O BENEFÍCIO DO SALÁRIO-FAMÍLIA."
"2";"PLS 197/2011";"PLP 266/2013";"ESTABELECE NORMAS SOBRE O CÁLCULO, À ENTREGA E O CONTROLE DAS LIBERAÇÕES DOS RECURSOS DO FUNDO DE PARTICIPAÇÃO DOS ESTADOS E DO DISTRITO FEDERAL - FPE."
"3";"PLS 203/2011";"PL 7007/2013";"ALTERA O ART. 16 DA LEI Nº 8.429, DE 2 DE JUNHO DE 1992, PARA REGULAR ASPECTOS PROCESSUAIS DA MEDIDA DE INDISPONIBILIDADE DE BENS."
"4";"PLS 206/2011";"PL 2223/2011";"DENOMINA ""FERROVIA ENGENHEIRO VASCO AZEVEDO NETO"" O TRECHO FERROVIÁRIO COMPREENDIDO ENTRE OS MUNICÍPIOS DE ILHÉUS, NO ESTADO DA BAHIA (BA), E FIGUEIRÓPOLIS, NO ESTADO DO TOCANTINS (TO)."
"5";"PLS 209/2011";"PL 5900/2013";"ADICIONA O INCISO VIII NO ART. 1º NA LEI Nº 8.072 DE 1990 (LEI DOS CRIMES HEDIONDOS) PARA PREVER OS DELITOS DE CONCUSSÃO, CORRUPÇÃO PASSIVA E CORRUPÇÃO ATIVA COMO CRIMES HEDIONDOS E AUMENTA A PENA DOS DELITOS PREVISTOS NOS ARTS. Nº 316, 317 E 333 DO DECRETO-LEI Nº 2.848, DE 7 DE DEZEMBRO DE 1940 - CÓDIGO PENAL."
"6";"PLC 68/1996";"PL 3745/1993";"DISPÕE SOBRE A VACINAÇÃO CONTRA A FEBRE AFTOSA, ALTERA O REGULAMENTO  
DO SERVIÇO DE DEFESA ANIMAL, APROVADO PELO DECRETO 24548, DE 03       
DE JULHO DE 1934, E A LEI 569, DE 21 DE DEZEMBRO DE 1948, E DA        
OUTRAS PROVIDENCIAS.                                                  
"
"7";"PLS 225/2011";"PL 3662/2012";"ACRESCENTA INCISO X AO ART. 473 DA CONSOLIDAÇÃO DAS LEIS DO TRABALHO - CLT, APROVADA PELO DECRETO-LEI Nº 5.452, DE 1º DE MAIO DE 1943, PARA PERMITIR QUE O EMPREGADO DEIXE DE COMPARECER AO TRABALHO POR ATÉ OITO HORAS, PARA SUBMETER-SE A EXAMES OU PROVAS EM ESTABELECIMENTOS EDUCACIONAIS E DÁ OUTRAS PROVIDÊNCIAS."
"8";"PLS 230/2011";"PLP 114/2011";"ALTERA DISPOSITIVOS DA LEI COMPLEMENTAR Nº 101, DE 04 DE MAIO DE 2000, QUE ESTABELECE NORMAS DE FINANÇAS PÚBLICAS VOLTADAS PARA A RESPONSABILIDADE NA GESTÃO FISCAL, - LEI DE RESPONSABILIDADE FISCAL, E DÁ OUTRAS PROVIDÊNCIAS."
"9";"PLS 231/2011";"PL 6576/2013";"ALTERA O ART. 964 DA LEI Nº 10.406, DE 10 DE JANEIRO DE 2002 - CÓDIGO CIVIL, PARA OUTORGAR PRIVILÉGIO ESPECIAL, SOBRE OS PRODUTOS DO ABATE, AO CREDOR POR ANIMAIS."
"10";"PLS 236/2011";"PL 4826/2012";"ALTERA O ART. 8º DA LEI Nº 9.250, DE 26 DE DEZEMBRO DE 1995, PARA PERMITIR QUE SEJA DEDUZIDO DA BASE DE CÁLCULO DO IMPOSTO DE RENDA DA PESSOA FÍSICA O VALOR DA CONTRIBUIÇÃO PREVIDENCIÁRIA OFICIAL PAGA EM NOME DE DEPENDENTE SEM RENDIMENTOS PRÓPRIOS."
"11";"PLS 244/2011";"PL 4483/2012";"DISPÕE SOBRE A IMUNIZAÇÃO DE MULHERES NA FAIXA ETÁRIA DE NOVE A QUARENTA ANOS COM A VACINA ANTIPAPILOMAVÍRUS HUMANO (HPV), NA REDE PÚBLICA DO SISTEMA ÚNICO DE SAÚDE DE TODOS OS ESTADOS E MUNICÍPIOS BRASILEIROS."
"12";"PLS 251/2011";"PL 6240/2013";"ACRESCENTA O ART. 149-A AO CÓDIGO PENAL, PARA TIPIFICAR O CRIME DE DESAPARECIMENTO FORÇADO DE PESSOA."
