NOM_PROPOSICAO;Data da conversão em lei;Cargo no ano da proposicao;Cargo no ano da conversao
PL 5203/2009;31/01/2015;Presidente;1º Vice-Presidente
PL 1089/2003;31/01/2015;Deputado;Senador
PL 4280/2008;31/01/2015;Deputado;1º Secretário
PL 1015/2007;31/01/2011;Presidente Comissao;Deputado
PL 6785/2006;31/01/2019;Deputado;Deputado
PL 6483/2006;31/01/2015;Deputado;Deputado
PL 6303/2005;31/01/2011;Deputado;Deputado
PL 3883/2004;31/01/2007;Deputado;Deputado
PL 7410/2010;31/01/2015;Líder;Deputado
PL 4591/2004;31/01/2007;Deputado;Deputado
PL 2977/2004;31/01/2011;Deputado;Deputado
PL 4495/2008;31/01/2015;Deputado;Presidente
PL 7409/2010;31/01/2019;Deputado;3º Secretário
PL 84/2007;31/01/2011;2º Secretário;2º Secretário
PL 5498/2009;31/01/2011;2º Secretário;2º Secretário
PL 4246/2012;31/01/2019;Deputado;Deputado
PLP 123/2004;31/01/2007;Líder;Deputado
PL 2742/2003;31/01/2019;Deputado;Deputado
PL 6316/2009;31/01/2015;1º Vice-Presidente;Deputado
PL 7639/2010;31/01/2015;Presidente Comissao;Deputado
PL 4673/2004;31/01/2011;Deputado;Deputado
PL 7522/2010;31/01/2015;Presidente Comissao;Deputado
PL 3778/2008;31/01/2011;Deputado;Deputado
PL 1756/2007;31/01/2011;Deputado;Deputado
PL 1661/2003;31/01/2007;Deputado;Líder
PL 814/2007;31/01/2019;Deputado;Deputado
PL 818/2003;31/01/2007;Deputado;Deputado
PL 7664/2014;31/01/2019;2º Secretário;Deputado
PLP 22/2003;31/01/2007;Deputado;Presidente Comissao
PL 1033/2003;31/01/2015;Deputado;Deputado
;;10;7
